Country,Continent,Latitude,Longitude,Count,Diversity,Established,Immigrant,TotalNumberSpeakers,TopLanguages,NumberCountries,TopPercentageSpeakers,TopTotalSpeakers,LanguageTree,LanguageTreeParent,TreeSize
Afghanistan,Asia,33.93911,67.709953,42,0.796,41,1,23352300,Chinese,26,16.9,1349,All Speakers,null,0
Aland Islands,Europe,60.1785,19.9156,3,0.1,3,0,27652,English,68,7.6,604,Chinese,All Speakers,16
Albania,Europe,41.153332,20.168331,12,0.518,8,4,2847936,Hindi,9,7.3,586,English,All Speakers,8
Algeria,Africa,28.033886,1.659626,22,0.511,18,4,38548160,Spanish,35,5.7,457,Hindi,All Speakers,8
American Samoa,Oceania,-14.270972,-170.132217,7,0.215,2,5,56090,Arabic,35,4.7,375,Spanish,All Speakers,6
Andorra,Europe,42.546245,1.601554,5,0.664,4,1,73500,Bengali,4,3.6,284,Arabic,All Speakers,5
Angola,Africa,-11.202692,17.873887,47,0.745,46,1,24288770,Portuguese,18,2.9,230,Bengali,All Speakers,4
Anguilla,North America,18.220554,-63.068615,2,0.141,2,0,12450,Russian,22,1.9,155,Portuguese,All Speakers,3
Antigua and Barbuda,North America,17.060816,-61.796428,4,0.495,2,2,153800,Punjabi,4,1.9,154,Russian,All Speakers,2
Argentina,South America,-38.416097,-63.616672,40,0.155,24,16,46160150,Japanese,4,1.6,125,Punjabi,All Speakers,2
Armenia,Asia,40.069099,45.038189,14,0.049,8,6,3036180,Javanese,1,1.4,109,Japanese,All Speakers,2
Aruba,North America,12.52111,-69.968338,6,0.484,4,2,86790,Telugu,1,1.3,103,Javanese,All Speakers,1
Australia,Oceania,-25.274398,133.775136,319,0.341,226,93,22693732,Marathi,1,1.3,100,Telugu,All Speakers,1
Austria,Europe,47.516231,14.550072,36,0.269,15,21,9490430,French,47,1.2,98,Marathi,All Speakers,1
Azerbaijan,Asia,40.143105,47.576927,38,0.208,18,20,9280890,German,20,1.2,97,French,All Speakers,1
Bahamas,North America,25.03428,-77.39628,5,0.509,3,2,667280,Urdu,5,1.1,91,German,All Speakers,1
Bahrain,Asia,25.930414,50.637772,14,0.637,6,8,1263500,Tamil,5,1.1,90,Urdu,All Speakers,1
Bangladesh,Asia,23.684994,90.356331,45,0.369,41,4,165220330,Vietnamese,4,1.1,87,Tamil,All Speakers,1
Barbados,North America,13.193887,-59.543198,3,0.5,3,0,518290,Korean,7,1,81,Vietnamese,All Speakers,1
Belarus,Europe,53.709807,27.953389,11,0.382,4,7,8946400,Turkish,11,1,78,Korean,All Speakers,1
Belgium,Europe,50.503887,4.469936,36,0.69,12,24,13686200,Persian,6,0.9,75,Turkish,All Speakers,1
Belize,North America,17.189877,-88.49765,12,0.723,8,4,532160,Hausa,2,0.8,66,Persian,All Speakers,1
Benin,Africa,9.30769,2.315834,56,0.924,55,1,9605590,Gujarati,1,0.8,64,Hausa,All Speakers,1
Bermuda,North America,32.321384,-64.75737,3,0.078,2,1,64610,Italian,16,0.8,62,Gujarati,All Speakers,1
Bhutan,Asia,27.514162,90.433601,31,0.827,23,8,639500,Malay,9,0.7,58,Italian,All Speakers,1
Bolivia,South America,-16.290154,-63.588653,45,0.563,43,2,7349368,Kannada,1,0.7,53,Malay,All Speakers,1
Bosnia and Herzegovina,Europe,43.915886,17.679076,12,0.595,5,7,3757804,Pashto,2,0.7,52,Kannada,All Speakers,1
Botswana,Africa,-22.328474,24.684866,38,0.397,31,7,2213660,Tagalog,11,0.6,47,Pashto,All Speakers,1
Brazil,South America,-14.235004,-51.92528,228,0.101,217,11,204653402,Oriya,1,0.6,46,Tagalog,All Speakers,1
British Indian Ocean Territory,Asia,-6.343194,71.876519,1,0,1,0,4000,Malayalam,1,0.6,46,Oriya,All Speakers,1
